Resumo geral;Pagamentos pendentes;Pagamentos finalizados;Valor total
 ;$ 0,00;$ 55.875,19;$ 55.875,19
Descrição;Veículo;Fornecedor;Funcionário;Viagem;Data de cadastro;Data de vencimento;Data de pagamento;Valor total;Pago?
COMPRA DE PEÇAS;LKQ-1G03 - VW/8.120 EURO3;CASTRILLON ;"";"";08/08/2025 13:18:00;11/09/2025 13:18:00;11/09/2025 13:18:00;$ 855,36;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33571;VALVULA DE PEDAL DE FREIO;1;$ 855,36;$ 855,36
MULTA;LKQ-1G03 - VW/8.120 EURO3;DETRAN MT;"";"";19/07/2025 08:40:00;27/08/2025 16:52:00;27/08/2025 16:52:00;$ 195,23;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33089;DEIXAR O PASSAGEIRO DE USAR O CINTO DE SEG;1;$ 195,23;$ 195,23
MULTA EM ABERTO;LKQ-1G03 - VW/8.120 EURO3;DETRAN MT;IZAIAS GONÇALO DE CAMPOS;"";19/07/2025 08:40:00;19/08/2025 15:17:00;10/09/2025 15:24:00;$ 195,23;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33061;DEIXAR O PASSA DE USAR CINTO DE SEG;1;$ 195,23;$ 195,23
MULTA;NVX3C19 - I/TOYOTA HILUX CS4X4CHAS;DETRAN MT;"";"";18/07/2025 10:27:00;28/08/2025 09:30:00;28/08/2025 09:30:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33038;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;1;$ 130,16;$ 130,16
MULTA EM ABERTO;BEH6C13 - VW/6.160 DRC 4X2;DETRAN MT;"";"";14/07/2025 13:44:00;12/09/2025 13:44:00;12/09/2025 13:21:00;$ 312,37;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33039;MULTA POR NAO IDENTIFICAR O CONDUTOR INFRATOR;1;$ 312,37;$ 312,37
MULTA;BEH6C13 - VW/6.160 DRC 4X2;DETRAN MT;"";"";04/06/2025 20:42:00;27/08/2025 09:07:00;27/08/2025 09:09:00;$ 195,23;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33056;DEIXAR DE ADENTRAR ÀS AREA PARA Á PESAGEM;1;$ 195,23;$ 195,23
MULTA;BEH6C13 - VW/6.160 DRC 4X2;DETRAN MT;"";"";04/06/2025 20:42:00;27/08/2025 09:33:00;27/08/2025 09:33:00;$ 195,23;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33056;DEIXAR DE ADENTRAR ÀS AREA PARA Á PESAGEM;1;$ 195,23;$ 195,23
MULTA;CVP1962 - VOLKSWAGEN 8120;DETRAN MT;"";"";23/05/2025 18:43:00;27/08/2025 10:39:00;27/08/2025 10:39:00;$ 293,47;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33041;AVANCAR SINAL VERMELHO DO SEMAFORO;1;$ 293,47;$ 293,47
MULTA NICP034487;BEH6C13 - VW/6.160 DRC 4X2;DETRAN MT;"";"";15/05/2025 10:24:00;19/09/2025 10:24:00;19/09/2025 15:19:00;$ 208,26;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33039;MULTA POR NAO IDENTIFICAR O CONDUTOR INFRATOR;1;$ 208,26;$ 208,26
MULTA;BEH6C13 - VW/6.160 DRC 4X2;DETRAN MT;"";"";15/05/2025 02:56:00;27/08/2025 09:09:00;27/08/2025 09:09:00;$ 260,32;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33042;MULTA POR NAO IDENTIFICAÇÃO DO CONDUTOR;1;$ 260,32;$ 260,32
MULTA;BEH6C13 - VW/6.160 DRC 4X2;DETRAN MT;"";"";15/05/2025 02:54:00;27/08/2025 09:35:00;27/08/2025 09:35:00;$ 260,32;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33039;MULTA POR NAO IDENTIFICAR O CONDUTOR INFRATOR;1;$ 260,32;$ 260,32
MULTA;"";DETRAN MT;"";"";13/05/2025 16:23:00;27/08/2025 09:50:00;27/08/2025 09:50:00;$ 293,47;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33041;AVANCAR SINAL VERMELHO DO SEMAFORO;1;$ 293,47;$ 293,47
MULTA;CVP1962 - VOLKSWAGEN 8120;DETRAN MT;"";"";13/05/2025 16:23:00;27/08/2025 10:41:00;27/08/2025 10:41:00;$ 293,47;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33041;AVANCAR SINAL VERMELHO DO SEMAFORO;1;$ 293,47;$ 293,47
MULTA;BEH6C13 - VW/6.160 DRC 4X2;DETRAN MT;"";"";30/04/2025 21:48:00;27/08/2025 09:12:00;27/08/2025 09:12:00;$ 195,23;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33056;DEIXAR DE ADENTRAR ÀS AREA PARA Á PESAGEM;1;$ 195,23;$ 195,23
MULTA;BEH6C13 - VW/6.160 DRC 4X2;DETRAN MT;"";"";30/04/2025 21:48:00;27/08/2025 09:42:00;27/08/2025 09:42:00;$ 195,23;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33056;DEIXAR DE ADENTRAR ÀS AREA PARA Á PESAGEM;1;$ 195,23;$ 195,23
MULTA;NWA-3I75 - VOLKSWAGEN 8120;DETRAN MT;"";"";11/04/2025 17:58:00;28/08/2025 09:43:00;28/08/2025 09:43:00;$ 293,47;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33041;AVANCAR SINAL VERMELHO DO SEMAFORO;1;$ 293,47;$ 293,47
MULTA;NVX3C19 - I/TOYOTA HILUX CS4X4CHAS;DETRAN MT;"";"";08/04/2025 14:11:00;28/08/2025 09:03:00;28/08/2025 09:03:00;$ 130,16;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33038;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;1;$ 130,16;$ 130,16
MULTA;KAH8I62 - HONDA CG 125;DETRAN MT;"";"";07/04/2025 02:44:00;27/08/2025 13:57:00;27/08/2025 13:57:00;$ 260,32;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33042;MULTA POR NAO IDENTIFICAÇÃO DO CONDUTOR;1;$ 260,32;$ 260,32
MULTA;LKQ-1G03 - VW/8.120 EURO3;DETRAN MT;"";"";07/03/2025 09:28:00;27/08/2025 16:49:00;27/08/2025 16:49:00;$ 293,47;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33088;COND VEICULO COM QUALQUER UMA DAS PLACAS;1;$ 293,47;$ 293,47
MULTA;SPL-3D99 - VW/DELIVERY 11.180;DETRAN MT;"";"";04/03/2025 02:41:00;30/08/2025 09:52:00;30/08/2025 09:52:00;$ 584,94;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33042;MULTA POR NAO IDENTIFICAÇÃO DO CONDUTOR;1;$ 584,94;$ 584,94
MULTA;QRD-7I51 - VOLKSWAGEN 11180;DETRAN MT;"";"";03/03/2025 02:41:00;30/08/2025 08:27:00;30/08/2025 08:27:00;$ 586,94;O
